Player,Hero,Round,Opponent,Opponent Hero,Result
Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Round 1,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Win
Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Round 1,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Loss
Grégory Lefebvre,"Oscilio, Constella Intelligence",Round 1,Francesco Zampieri,"Cindra, Dracai of Retribution",Win
Francesco Zampieri,"Cindra, Dracai of Retribution",Round 1,Grégory Lefebvre,"Oscilio, Constella Intelligence",Loss
Jaka Burnik,"Cindra, Dracai of Retribution",Round 1,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Win
Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Round 1,Jaka Burnik,"Cindra, Dracai of Retribution",Loss
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 1,Florian Grabenstein,"Kayo, Armed and Dangerous",Win
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 1,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Round 1,Chang Li,"Victor Goldmane, High and Mighty",Win
Chang Li,"Victor Goldmane, High and Mighty",Round 1,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Loss
Erik Baalhuis,"Rhinar, Reckless Rampage",Round 1,Xiaoliang Yang,Dash I/O,Loss
Xiaoliang Yang,Dash I/O,Round 1,Erik Baalhuis,"Rhinar, Reckless Rampage",Win
Luis Toeffels,"Azalea, Ace in the Hole",Round 1,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 1,Luis Toeffels,"Azalea, Ace in the Hole",Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 1,Christian Fichtner,"Nuu, Alluring Desire",Win
Christian Fichtner,"Nuu, Alluring Desire",Round 1,Jakub Kouřil,"Prism, Awakener of Sol",Loss
Daniel Li,"Cindra, Dracai of Retribution",Round 1,Gabriele Panichi,"Prism, Awakener of Sol",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 1,Daniel Li,"Cindra, Dracai of Retribution",Loss
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 1,Maciej Szawica,"Kayo, Armed and Dangerous",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 1,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Loss
Alex Kondov,"Prism, Awakener of Sol",Round 1,Enrico Collini,"Riptide, Lurker of the Deep",Win
Enrico Collini,"Riptide, Lurker of the Deep",Round 1,Alex Kondov,"Prism, Awakener of Sol",Loss
Matteo Brunori,"Azalea, Ace in the Hole",Round 1,Plamen Kutinchev,"Arakni, Marionette",Win
Plamen Kutinchev,"Arakni, Marionette",Round 1,Matteo Brunori,"Azalea, Ace in the Hole",Loss
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 1,Vasil Boev,"Verdance, Thorn of the Rose",Win
Vasil Boev,"Verdance, Thorn of the Rose",Round 1,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 1,Charlie Fahey,"Kano, Dracai of Aether",Loss
Charlie Fahey,"Kano, Dracai of Aether",Round 1,Tommaso Viscido,"Nuu, Alluring Desire",Win
Anton Cid Mejias,"Arakni, Marionette",Round 1,Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Win
Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Round 1,Anton Cid Mejias,"Arakni, Marionette",Loss
Piero Carini,"Arakni, Marionette",Round 1,Oliver Kuhrt,"Puffin, Hightail",Win
Oliver Kuhrt,"Puffin, Hightail",Round 1,Piero Carini,"Arakni, Marionette",Loss
Diego Paoletti,"Nuu, Alluring Desire",Round 1,Viktor Ivanov,"Arakni, Marionette",Win
Viktor Ivanov,"Arakni, Marionette",Round 1,Diego Paoletti,"Nuu, Alluring Desire",Loss
Roberto Andreocci,"Ira, Scarlet Revenger",Round 1,Francesco Fiumanò,"Cindra, Dracai of Retribution",Loss
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 1,Roberto Andreocci,"Ira, Scarlet Revenger",Win
Jakub Kulpinski,"Puffin, Hightail",Round 1,Alex Smith,"Azalea, Ace in the Hole",Loss
Alex Smith,"Azalea, Ace in the Hole",Round 1,Jakub Kulpinski,"Puffin, Hightail",Win
James Brookes,"Nuu, Alluring Desire",Round 1,Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Loss
Nikolas Koutounidis,"Victor Goldmane, High and Mighty",Round 1,James Brookes,"Nuu, Alluring Desire",Win
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 1,Emad Kashy,"Arakni, Marionette",Win
Emad Kashy,"Arakni, Marionette",Round 1,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
Nikos Evgenidis,"Nuu, Alluring Desire",Round 1,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 1,Nikos Evgenidis,"Nuu, Alluring Desire",Win
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 1,Florian Schmidt,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Florian Schmidt,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Davide Ricci,"Prism, Awakener of Sol",Round 1,Alessandro Bracci,"Verdance, Thorn of the Rose",Loss
Alessandro Bracci,"Verdance, Thorn of the Rose",Round 1,Davide Ricci,"Prism, Awakener of Sol",Win
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 1,Emlyn Ingram,"Prism, Awakener of Sol",Loss
Emlyn Ingram,"Prism, Awakener of Sol",Round 1,Jorge Jimenez,"Florian, Rotwood Harbinger",Win
Valerio Colonna,"Nuu, Alluring Desire",Round 1,Paul van Gijssel,"Azalea, Ace in the Hole",Loss
Paul van Gijssel,"Azalea, Ace in the Hole",Round 1,Valerio Colonna,"Nuu, Alluring Desire",Win
Alessandro Segradin,Dash I/O,Round 1,Francesco Giorgio,"Florian, Rotwood Harbinger",Win
Francesco Giorgio,"Florian, Rotwood Harbinger",Round 1,Alessandro Segradin,Dash I/O,Loss
Mirko Macchia,"Azalea, Ace in the Hole",Round 1,Steffen Bauer,"Cindra, Dracai of Retribution",Loss
Steffen Bauer,"Cindra, Dracai of Retribution",Round 1,Mirko Macchia,"Azalea, Ace in the Hole",Win
Gilles Molina,"Prism, Awakener of Sol",Round 1,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Win
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 1,Gilles Molina,"Prism, Awakener of Sol",Loss
Vasilis Kirlis,"Nuu, Alluring Desire",Round 1,Mika Vainio,"Ser Boltyn, Breaker of Dawn",Win
Mika Vainio,"Ser Boltyn, Breaker of Dawn",Round 1,Vasilis Kirlis,"Nuu, Alluring Desire",Loss
Iacopo Lau,"Azalea, Ace in the Hole",Round 1,Emanuele Zanella,"Azalea, Ace in the Hole",Loss
Emanuele Zanella,"Azalea, Ace in the Hole",Round 1,Iacopo Lau,"Azalea, Ace in the Hole",Win
Wojciech Arendt,"Prism, Awakener of Sol",Round 1,Ilias Karamanis,"Kayo, Armed and Dangerous",Loss
Ilias Karamanis,"Kayo, Armed and Dangerous",Round 1,Wojciech Arendt,"Prism, Awakener of Sol",Win
Tomasz Żelazko,"Marlynn, Treasure Hunter",Round 1,Marco Casadio,Dash I/O,Loss
Marco Casadio,Dash I/O,Round 1,Tomasz Żelazko,"Marlynn, Treasure Hunter",Win
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 1,René Rosenberg,"Arakni, Marionette",Win
René Rosenberg,"Arakni, Marionette",Round 1,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Win
Jimmy Nguyen,"Gravy Bones, Shipwrecked Looter",Round 1,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Diego Giacca,"Puffin, Hightail",Round 1,Riccardo Di Cesare,Kassai of the Golden Sand,Win
Riccardo Di Cesare,Kassai of the Golden Sand,Round 1,Diego Giacca,"Puffin, Hightail",Loss
Daniel Correas,"Azalea, Ace in the Hole",Round 1,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Win
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 1,Daniel Correas,"Azalea, Ace in the Hole",Loss
Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Round 1,Jan-Hendrik Brinkforth,Jarl Vetreiði,Win
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 1,Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Loss
Natan Tomeo,"Verdance, Thorn of the Rose",Round 1,Federico Lami,"Vynnset, Iron Maiden",Loss
Federico Lami,"Vynnset, Iron Maiden",Round 1,Natan Tomeo,"Verdance, Thorn of the Rose",Win
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 1,Artur Wysocki,"Nuu, Alluring Desire",Loss
Artur Wysocki,"Nuu, Alluring Desire",Round 1,Andrea Caregnato,"Rhinar, Reckless Rampage",Win
Daniel Mulato,"Azalea, Ace in the Hole",Round 1,Jason Rolfe,"Verdance, Thorn of the Rose",Loss
Jason Rolfe,"Verdance, Thorn of the Rose",Round 1,Daniel Mulato,"Azalea, Ace in the Hole",Win
Demetrio Bori,Dash I/O,Round 1,Žan Baumgartner,"Kano, Dracai of Aether",Loss
Žan Baumgartner,"Kano, Dracai of Aether",Round 1,Demetrio Bori,Dash I/O,Win
Alberto Hernández Martin,"Vynnset, Iron Maiden",Round 1,Yahir Peñarrubia,"Florian, Rotwood Harbinger",Loss
Yahir Peñarrubia,"Florian, Rotwood Harbinger",Round 1,Alberto Hernández Martin,"Vynnset, Iron Maiden",Win
Ruben Exposito,"Kano, Dracai of Aether",Round 1,Julian Cappallo,"Florian, Rotwood Harbinger",Win
Julian Cappallo,"Florian, Rotwood Harbinger",Round 1,Ruben Exposito,"Kano, Dracai of Aether",Loss
Mert Gezgin,"Oscilio, Constella Intelligence",Round 1,Gianluca Razza,"Verdance, Thorn of the Rose",Win
Gianluca Razza,"Verdance, Thorn of the Rose",Round 1,Mert Gezgin,"Oscilio, Constella Intelligence",Loss
Eugenio Papavero Crusca,Jarl Vetreiði,Round 1,Marek Luczak,"Cindra, Dracai of Retribution",Win
Marek Luczak,"Cindra, Dracai of Retribution",Round 1,Eugenio Papavero Crusca,Jarl Vetreiði,Loss
Francesco Buoso,"Oscilio, Constella Intelligence",Round 1,Antonio Kutter,"Prism, Awakener of Sol",Win
Antonio Kutter,"Prism, Awakener of Sol",Round 1,Francesco Buoso,"Oscilio, Constella Intelligence",Loss
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 1,Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Loss
Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Round 1,George Rodger,"Gravy Bones, Shipwrecked Looter",Win
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 1,Igor Makarev,"Ira, Scarlet Revenger",Loss
Igor Makarev,"Ira, Scarlet Revenger",Round 1,Paolo D’Innocenzo,Kassai of the Golden Sand,Win
Lukasz Bigos,"Puffin, Hightail",Round 1,Michele Maietta,"Kano, Dracai of Aether",Win
Michele Maietta,"Kano, Dracai of Aether",Round 1,Lukasz Bigos,"Puffin, Hightail",Loss
Matthew Duggan,"Kano, Dracai of Aether",Round 1,Julien Erdreich,"Florian, Rotwood Harbinger",Win
Julien Erdreich,"Florian, Rotwood Harbinger",Round 1,Matthew Duggan,"Kano, Dracai of Aether",Loss
Daniele Bigagli,"Verdance, Thorn of the Rose",Round 1,Alexandros Argyriou,"Cindra, Dracai of Retribution",Win
Alexandros Argyriou,"Cindra, Dracai of Retribution",Round 1,Daniele Bigagli,"Verdance, Thorn of the Rose",Loss
Andrea Tosi,"Florian, Rotwood Harbinger",Round 1,Duccio Capanni,"Victor Goldmane, High and Mighty",Win
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 1,Andrea Tosi,"Florian, Rotwood Harbinger",Loss
Arianna Rinaldi,"Puffin, Hightail",Round 1,Francesco D'Amendola,"Kayo, Armed and Dangerous",Loss
Francesco D'Amendola,"Kayo, Armed and Dangerous",Round 1,Arianna Rinaldi,"Puffin, Hightail",Win
Diogo Vala,"Azalea, Ace in the Hole",Round 1,Vasil Popov,"Arakni, Marionette",Loss
Vasil Popov,"Arakni, Marionette",Round 1,Diogo Vala,"Azalea, Ace in the Hole",Win
David Chirulescu,Kassai of the Golden Sand,Round 1,Ralph Schlauri,"Verdance, Thorn of the Rose",Loss
Ralph Schlauri,"Verdance, Thorn of the Rose",Round 1,David Chirulescu,Kassai of the Golden Sand,Win
Marco Nogarole,"Cindra, Dracai of Retribution",Round 1,Bartosz Ziemba,"Verdance, Thorn of the Rose",Loss
Bartosz Ziemba,"Verdance, Thorn of the Rose",Round 1,Marco Nogarole,"Cindra, Dracai of Retribution",Win
Kevin Steiger,"Azalea, Ace in the Hole",Round 1,Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Win
Pierfrancesco Di Giuseppe,"Gravy Bones, Shipwrecked Looter",Round 1,Kevin Steiger,"Azalea, Ace in the Hole",Loss
Tigran Grigorian,"Florian, Rotwood Harbinger",Round 1,Brian Fusciani,Dorinthea Ironsong,Loss
Brian Fusciani,Dorinthea Ironsong,Round 1,Tigran Grigorian,"Florian, Rotwood Harbinger",Win
Lukasz Ziemba,"Fang, Dracai of Blades",Round 1,Florian Schmidt,"Prism, Awakener of Sol",Loss
Florian Schmidt,"Prism, Awakener of Sol",Round 1,Lukasz Ziemba,"Fang, Dracai of Blades",Win
Davide Cimmino,"Azalea, Ace in the Hole",Round 1,Björn DHOOGHE,"Katsu, the Wanderer",Loss
Björn DHOOGHE,"Katsu, the Wanderer",Round 1,Davide Cimmino,"Azalea, Ace in the Hole",Win
Boris Melnykov,"Nuu, Alluring Desire",Round 1,Brian Zambelli Tello,"Prism, Awakener of Sol",Loss
Brian Zambelli Tello,"Prism, Awakener of Sol",Round 1,Boris Melnykov,"Nuu, Alluring Desire",Win
Flavio Dollani,"Azalea, Ace in the Hole",Round 1,Pablo Pintor,"Nuu, Alluring Desire",Loss
Pablo Pintor,"Nuu, Alluring Desire",Round 1,Flavio Dollani,"Azalea, Ace in the Hole",Win
George Melissakis,"Prism, Awakener of Sol",Round 1,Stefano Galli,"Verdance, Thorn of the Rose",Win
Stefano Galli,"Verdance, Thorn of the Rose",Round 1,George Melissakis,"Prism, Awakener of Sol",Loss
Stefano tosoni,"Fang, Dracai of Blades",Round 1,Alexander Prull,"Azalea, Ace in the Hole",Loss
Alexander Prull,"Azalea, Ace in the Hole",Round 1,Stefano tosoni,"Fang, Dracai of Blades",Win
Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Round 1,Daniel Collett,"Gravy Bones, Shipwrecked Looter",Win
Daniel Collett,"Gravy Bones, Shipwrecked Looter",Round 1,Αναστάσιος Παπαγιάννης,"Oscilio, Constella Intelligence",Loss
Paweł Romanowski,"Kayo, Armed and Dangerous",Round 1,Savinien Castel,"Nuu, Alluring Desire",Loss
Savinien Castel,"Nuu, Alluring Desire",Round 1,Paweł Romanowski,"Kayo, Armed and Dangerous",Win
Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Round 1,Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Giorgos Dailianis,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Romain TRAVERSAZ,"Florian, Rotwood Harbinger",Loss
Karanjeet Singh,Dash I/O,Round 1,Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Loss
Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Round 1,Karanjeet Singh,Dash I/O,Win
Michał Biereg,"Verdance, Thorn of the Rose",Round 1,Kugane Gaming,"Cindra, Dracai of Retribution",Win
Kugane Gaming,"Cindra, Dracai of Retribution",Round 1,Michał Biereg,"Verdance, Thorn of the Rose",Loss
Jonny Chapman,"Florian, Rotwood Harbinger",Round 1,Bota Claudiu,"Prism, Awakener of Sol",Win
Bota Claudiu,"Prism, Awakener of Sol",Round 1,Jonny Chapman,"Florian, Rotwood Harbinger",Loss
Maximilian Schmidt,"Verdance, Thorn of the Rose",Round 1,Yorick Schulte,Kassai of the Golden Sand,Win
Yorick Schulte,Kassai of the Golden Sand,Round 1,Maximilian Schmidt,"Verdance, Thorn of the Rose",Loss
Davide Brigida,"Puffin, Hightail",Round 1,Christos Kontzoglou,"Azalea, Ace in the Hole",Loss
Christos Kontzoglou,"Azalea, Ace in the Hole",Round 1,Davide Brigida,"Puffin, Hightail",Win
Leoluca Colletti,"Nuu, Alluring Desire",Round 1,John Kitsos,"Florian, Rotwood Harbinger",Loss
John Kitsos,"Florian, Rotwood Harbinger",Round 1,Leoluca Colletti,"Nuu, Alluring Desire",Win
Federico Sirri,Kassai of the Golden Sand,Round 1,Enki Dupaquier,Kassai of the Golden Sand,Loss
Enki Dupaquier,Kassai of the Golden Sand,Round 1,Federico Sirri,Kassai of the Golden Sand,Win
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 1,Eugene C,"Rhinar, Reckless Rampage",Win
Eugene C,"Rhinar, Reckless Rampage",Round 1,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
Simone Pagani,"Marlynn, Treasure Hunter",Round 1,Mario Donoso,"Florian, Rotwood Harbinger",Win
Mario Donoso,"Florian, Rotwood Harbinger",Round 1,Simone Pagani,"Marlynn, Treasure Hunter",Loss
Kamil Rejman,"Azalea, Ace in the Hole",Round 1,Ismael Boulbaz,"Florian, Rotwood Harbinger",Win
Ismael Boulbaz,"Florian, Rotwood Harbinger",Round 1,Kamil Rejman,"Azalea, Ace in the Hole",Loss
Gianluigi Lia,"Nuu, Alluring Desire",Round 1,Léo Baty,Kassai of the Golden Sand,Loss
Léo Baty,Kassai of the Golden Sand,Round 1,Gianluigi Lia,"Nuu, Alluring Desire",Win
Sebastian Spicher,"Verdance, Thorn of the Rose",Round 1,Jan Kučera,"Kano, Dracai of Aether",Loss
Jan Kučera,"Kano, Dracai of Aether",Round 1,Sebastian Spicher,"Verdance, Thorn of the Rose",Win
Ferdinand Wenke,"Florian, Rotwood Harbinger",Round 1,Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Win
Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Round 1,Ferdinand Wenke,"Florian, Rotwood Harbinger",Loss
Stefano Meoni,"Azalea, Ace in the Hole",Round 1,Jacob Walter,"Verdance, Thorn of the Rose",Win
Jacob Walter,"Verdance, Thorn of the Rose",Round 1,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 1,Erik Skinstad,"Vynnset, Iron Maiden",Loss
Erik Skinstad,"Vynnset, Iron Maiden",Round 1,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Win
Liam Holden,"Victor Goldmane, High and Mighty",Round 1,Andrea Malpassi,"Cindra, Dracai of Retribution",Win
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 1,Liam Holden,"Victor Goldmane, High and Mighty",Loss
Jacob Clements,"Prism, Awakener of Sol",Round 1,Matteo Blasi,"Florian, Rotwood Harbinger",Loss
Matteo Blasi,"Florian, Rotwood Harbinger",Round 1,Jacob Clements,"Prism, Awakener of Sol",Win
Sebastiano Zagatti,"Azalea, Ace in the Hole",Round 1,Giulio Monaco,"Verdance, Thorn of the Rose",Loss
Giulio Monaco,"Verdance, Thorn of the Rose",Round 1,Sebastiano Zagatti,"Azalea, Ace in the Hole",Win
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 1,Gary White,"Kano, Dracai of Aether",Loss
Gary White,"Kano, Dracai of Aether",Round 1,Giacomo Mosca,"Verdance, Thorn of the Rose",Win
Marcin Chorzepa,"Oscilio, Constella Intelligence",Round 1,Szabolcs Egri,"Nuu, Alluring Desire",Loss
Szabolcs Egri,"Nuu, Alluring Desire",Round 1,Marcin Chorzepa,"Oscilio, Constella Intelligence",Win
Marcello Mutalipassi,"Arakni, Marionette",Round 1,Wojciech Andrusewicz,"Gravy Bones, Shipwrecked Looter",Win
Wojciech Andrusewicz,"Gravy Bones, Shipwrecked Looter",Round 1,Marcello Mutalipassi,"Arakni, Marionette",Loss
Tim Dasiukevich,"Riptide, Lurker of the Deep",Round 1,George Chew,"Kayo, Armed and Dangerous",Win
George Chew,"Kayo, Armed and Dangerous",Round 1,Tim Dasiukevich,"Riptide, Lurker of the Deep",Loss
Gaia Bormida,Dorinthea Ironsong,Round 1,Márton Kovács,"Cindra, Dracai of Retribution",Loss
Márton Kovács,"Cindra, Dracai of Retribution",Round 1,Gaia Bormida,Dorinthea Ironsong,Win
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 1,Florian Traversaz,"Prism, Awakener of Sol",Win
Florian Traversaz,"Prism, Awakener of Sol",Round 1,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Loss
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 1,piero scheriani,"Fai, Rising Rebellion",Win
piero scheriani,"Fai, Rising Rebellion",Round 1,Brent Van de Staey,"Cindra, Dracai of Retribution",Loss
Alessandro Berganton,"Florian, Rotwood Harbinger",Round 1,Gabriele Giacomelli,Dash I/O,Win
Gabriele Giacomelli,Dash I/O,Round 1,Alessandro Berganton,"Florian, Rotwood Harbinger",Loss
Lancelot Errico,"Florian, Rotwood Harbinger",Round 1,Stefania Patsou,"Cindra, Dracai of Retribution",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 1,Lancelot Errico,"Florian, Rotwood Harbinger",Win
Goran Lovric,"Florian, Rotwood Harbinger",Round 1,Jonas Benzarti,"Arakni, Marionette",Win
Jonas Benzarti,"Arakni, Marionette",Round 1,Goran Lovric,"Florian, Rotwood Harbinger",Loss
Alex Chițu,"Azalea, Ace in the Hole",Round 1,George Jones,"Nuu, Alluring Desire",Loss
George Jones,"Nuu, Alluring Desire",Round 1,Alex Chițu,"Azalea, Ace in the Hole",Win
Raffaele Verdiani,"Verdance, Thorn of the Rose",Round 1,Tudor Diaconescu,"Levia, Shadowborn Abomination",Win
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 1,Raffaele Verdiani,"Verdance, Thorn of the Rose",Loss
Piergiorgio Villani,Kassai of the Golden Sand,Round 1,Josef Doležal,"Cindra, Dracai of Retribution",Win
Josef Doležal,"Cindra, Dracai of Retribution",Round 1,Piergiorgio Villani,Kassai of the Golden Sand,Loss
Martin Holík,"Kano, Dracai of Aether",Round 1,Kevin Zänker,"Nuu, Alluring Desire",Loss
Kevin Zänker,"Nuu, Alluring Desire",Round 1,Martin Holík,"Kano, Dracai of Aether",Win
Andrea Ceschin,Dorinthea Ironsong,Round 1,Simone Rainaldi,"Oscilio, Constella Intelligence",Win
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 1,Andrea Ceschin,Dorinthea Ironsong,Loss
Roman Legíň,"Florian, Rotwood Harbinger",Round 1,Sotiris Konstantelos,"Puffin, Hightail",Win
Sotiris Konstantelos,"Puffin, Hightail",Round 1,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 1,Panagiotis Pavlou,"Prism, Awakener of Sol",Loss
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 1,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Win
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 1,Francesco Motta,"Fang, Dracai of Blades",Loss
Francesco Motta,"Fang, Dracai of Blades",Round 1,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Win
Maurice Hostettler,"Azalea, Ace in the Hole",Round 1,Christian Hauck,Dorinthea Ironsong,Win
Christian Hauck,Dorinthea Ironsong,Round 1,Maurice Hostettler,"Azalea, Ace in the Hole",Loss
Jeremy Miller,"Nuu, Alluring Desire",Round 1,András Kovács,"Azalea, Ace in the Hole",Loss
András Kovács,"Azalea, Ace in the Hole",Round 1,Jeremy Miller,"Nuu, Alluring Desire",Win
Samuel Mudry,"Kano, Dracai of Aether",Round 1,Felix Krisch,"Levia, Shadowborn Abomination",Loss
Felix Krisch,"Levia, Shadowborn Abomination",Round 1,Samuel Mudry,"Kano, Dracai of Aether",Win
Viet Pham,"Nuu, Alluring Desire",Round 1,Jurij Di Carlo,"Florian, Rotwood Harbinger",Win
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 1,Viet Pham,"Nuu, Alluring Desire",Loss
Mauro Annetta,Jarl Vetreiði,Round 1,Alessio Viola,Jarl Vetreiði,Loss
Alessio Viola,Jarl Vetreiði,Round 1,Mauro Annetta,Jarl Vetreiði,Loss
Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Round 1,Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Win
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 1,Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Loss
Rob Catton,"Prism, Awakener of Sol",Round 1,Andrea Milaneschi,"Vynnset, Iron Maiden",Loss
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 1,Rob Catton,"Prism, Awakener of Sol",Win
Lorenzo Miele,"Prism, Awakener of Sol",Round 1,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Lorenzo Miele,"Prism, Awakener of Sol",Loss
Simone Quartieri,"Florian, Rotwood Harbinger",Round 1,Tim Heibrok,"Florian, Rotwood Harbinger",Loss
Tim Heibrok,"Florian, Rotwood Harbinger",Round 1,Simone Quartieri,"Florian, Rotwood Harbinger",Win
Arthur Trehet,"Verdance, Thorn of the Rose",Round 1,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Arthur Trehet,"Verdance, Thorn of the Rose",Loss
Thomas Harle,"Gravy Bones, Shipwrecked Looter",Round 1,Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 1,Thomas Harle,"Gravy Bones, Shipwrecked Looter",Loss
Marek Fila,"Fang, Dracai of Blades",Round 1,David Gómez,"Verdance, Thorn of the Rose",Loss
David Gómez,"Verdance, Thorn of the Rose",Round 1,Marek Fila,"Fang, Dracai of Blades",Win
Vedran Djuricic,"Fang, Dracai of Blades",Round 1,Lachlan Maddaford,"Arakni, Marionette",Loss
Lachlan Maddaford,"Arakni, Marionette",Round 1,Vedran Djuricic,"Fang, Dracai of Blades",Win
David Bettoli,"Prism, Awakener of Sol",Round 1,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Loss
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 1,David Bettoli,"Prism, Awakener of Sol",Win
James Thourgood,"Prism, Awakener of Sol",Round 1,Noah Cagle,"Fang, Dracai of Blades",Loss
Noah Cagle,"Fang, Dracai of Blades",Round 1,James Thourgood,"Prism, Awakener of Sol",Win
Alexander Hempelmann,"Kano, Dracai of Aether",Round 1,Léo Masson,"Kano, Dracai of Aether",Win
Léo Masson,"Kano, Dracai of Aether",Round 1,Alexander Hempelmann,"Kano, Dracai of Aether",Loss
