Player,Hero,Round,Opponent,Opponent Hero,Result
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 8,Mateusz Sass,"Victor Goldmane, High and Mighty",Win
Steffen Bauer,"Cindra, Dracai of Retribution",Round 8,Andrea Nicastro,"Kano, Dracai of Aether",Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 8,Steffen Bauer,"Cindra, Dracai of Retribution",Win
Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Round 8,Natan Tomeo,"Verdance, Thorn of the Rose",Loss
Natan Tomeo,"Verdance, Thorn of the Rose",Round 8,Florin-Cristian Loghin,"Florian, Rotwood Harbinger",Win
Bartosz Dobrowolski,"Arakni, Marionette",Round 8,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 8,Bartosz Dobrowolski,"Arakni, Marionette",Win
Antonio Kutter,"Prism, Awakener of Sol",Round 8,None,,Win
None,,Round 8,Antonio Kutter,"Prism, Awakener of Sol",Loss
Stefano Meoni,"Azalea, Ace in the Hole",Round 9,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 9,Stefano Meoni,"Azalea, Ace in the Hole",Win
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 9,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 9,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Win
Roman Legíň,"Florian, Rotwood Harbinger",Round 9,Federico Lami,"Vynnset, Iron Maiden",Loss
Federico Lami,"Vynnset, Iron Maiden",Round 9,Roman Legíň,"Florian, Rotwood Harbinger",Win
Anton Cid Mejias,"Arakni, Marionette",Round 9,Léo Baty,Kassai of the Golden Sand,Win
Léo Baty,Kassai of the Golden Sand,Round 9,Anton Cid Mejias,"Arakni, Marionette",Loss
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 9,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Win
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 9,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
Michaele Teppa,"Nuu, Alluring Desire",Round 9,Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Loss
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 9,Michaele Teppa,"Nuu, Alluring Desire",Win
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 9,Kevin Zänker,"Nuu, Alluring Desire",Win
Kevin Zänker,"Nuu, Alluring Desire",Round 9,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 9,George Rodger,"Gravy Bones, Shipwrecked Looter",Loss
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 9,Gilles Molina,"Prism, Awakener of Sol",Win
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 9,Andrea Malpassi,"Cindra, Dracai of Retribution",Loss
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 9,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Win
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 9,Savinien Castel,"Nuu, Alluring Desire",Loss
Savinien Castel,"Nuu, Alluring Desire",Round 9,Tommaso Fabbri,"Azalea, Ace in the Hole",Win
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 9,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Win
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 9,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 9,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 9,Mirko Dolce,"Azalea, Ace in the Hole",Win
Daniele Coppola,"Cindra, Dracai of Retribution",Round 9,Bota Claudiu,"Prism, Awakener of Sol",Loss
Bota Claudiu,"Prism, Awakener of Sol",Round 9,Daniele Coppola,"Cindra, Dracai of Retribution",Win
Finlay Freir,"Vynnset, Iron Maiden",Round 9,Antonio Kutter,"Prism, Awakener of Sol",Win
Antonio Kutter,"Prism, Awakener of Sol",Round 9,Finlay Freir,"Vynnset, Iron Maiden",Loss
Sander Neeft,"Gravy Bones, Shipwrecked Looter",Round 9,Tim Sofsky,"Prism, Awakener of Sol",Loss
Tim Sofsky,"Prism, Awakener of Sol",Round 9,Sander Neeft,"Gravy Bones, Shipwrecked Looter",Win
Giannis Koumidis,"Nuu, Alluring Desire",Round 9,Vasilis Kirlis,"Nuu, Alluring Desire",Loss
Vasilis Kirlis,"Nuu, Alluring Desire",Round 9,Giannis Koumidis,"Nuu, Alluring Desire",Win
Jason Rolfe,"Verdance, Thorn of the Rose",Round 9,Jakub Kouřil,"Prism, Awakener of Sol",Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 9,Jason Rolfe,"Verdance, Thorn of the Rose",Loss
piero scheriani,"Fai, Rising Rebellion",Round 9,Andrea Nicastro,"Kano, Dracai of Aether",Win
Andrea Nicastro,"Kano, Dracai of Aether",Round 9,piero scheriani,"Fai, Rising Rebellion",Loss
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 9,Natan Tomeo,"Verdance, Thorn of the Rose",Win
Natan Tomeo,"Verdance, Thorn of the Rose",Round 9,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Loss
Pablo Pintor,"Nuu, Alluring Desire",Round 9,Adam Tuček,"Nuu, Alluring Desire",Win
Adam Tuček,"Nuu, Alluring Desire",Round 9,Pablo Pintor,"Nuu, Alluring Desire",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 9,Francesco Motta,"Fang, Dracai of Blades",Win
Francesco Motta,"Fang, Dracai of Blades",Round 9,Sammy Weckx,"Prism, Awakener of Sol",Loss
Gary White,"Kano, Dracai of Aether",Round 9,Eugenio Papavero Crusca,Jarl Vetreiði,Loss
Eugenio Papavero Crusca,Jarl Vetreiði,Round 9,Gary White,"Kano, Dracai of Aether",Win
Gianluigi Lia,"Nuu, Alluring Desire",Round 9,Gints Dreimanis,"Arakni, Marionette",Loss
Gints Dreimanis,"Arakni, Marionette",Round 9,Gianluigi Lia,"Nuu, Alluring Desire",Loss
Roy Sammour,"Oscilio, Constella Intelligence",Round 9,Ilias Karamanis,"Kayo, Armed and Dangerous",Loss
Ilias Karamanis,"Kayo, Armed and Dangerous",Round 9,Roy Sammour,"Oscilio, Constella Intelligence",Win
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 9,David Chirulescu,Kassai of the Golden Sand,Win
David Chirulescu,Kassai of the Golden Sand,Round 9,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Loss
Szabolcs Egri,"Nuu, Alluring Desire",Round 9,Samuel Mudry,"Kano, Dracai of Aether",Loss
Samuel Mudry,"Kano, Dracai of Aether",Round 9,Szabolcs Egri,"Nuu, Alluring Desire",Win
Alexander Hempelmann,"Kano, Dracai of Aether",Round 9,Daniel Li,"Cindra, Dracai of Retribution",Win
Daniel Li,"Cindra, Dracai of Retribution",Round 9,Alexander Hempelmann,"Kano, Dracai of Aether",Loss
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 9,John Kitsos,"Florian, Rotwood Harbinger",Win
John Kitsos,"Florian, Rotwood Harbinger",Round 9,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Adrien Krifa,"Cindra, Dracai of Retribution",Round 9,Diego Giacca,"Puffin, Hightail",Win
Diego Giacca,"Puffin, Hightail",Round 9,Adrien Krifa,"Cindra, Dracai of Retribution",Loss
Felix Krisch,"Levia, Shadowborn Abomination",Round 9,Mateusz Sass,"Victor Goldmane, High and Mighty",Win
Mateusz Sass,"Victor Goldmane, High and Mighty",Round 9,Felix Krisch,"Levia, Shadowborn Abomination",Loss
Giulio Monaco,"Verdance, Thorn of the Rose",Round 9,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 9,Giulio Monaco,"Verdance, Thorn of the Rose",Loss
Maniša Njegomir,"Kano, Dracai of Aether",Round 9,Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Loss
Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Round 9,Maniša Njegomir,"Kano, Dracai of Aether",Win
Andrei Sebastian Suciu,"Arakni, Marionette",Round 9,Ralph Schlauri,"Verdance, Thorn of the Rose",Win
Ralph Schlauri,"Verdance, Thorn of the Rose",Round 9,Andrei Sebastian Suciu,"Arakni, Marionette",Loss
Daniel Correas,"Azalea, Ace in the Hole",Round 9,Daniele Bigagli,"Verdance, Thorn of the Rose",Loss
Daniele Bigagli,"Verdance, Thorn of the Rose",Round 9,Daniel Correas,"Azalea, Ace in the Hole",Win
Artur Wysocki,"Nuu, Alluring Desire",Round 9,Steffen Bauer,"Cindra, Dracai of Retribution",Win
Steffen Bauer,"Cindra, Dracai of Retribution",Round 9,Artur Wysocki,"Nuu, Alluring Desire",Loss
