Hero,Opponent Hero,Wins,Losses,Total Matches,Win Rate (%)
Jarl Vetreiði,Dash I/O,1,0,1,100.0
Jarl Vetreiði,"Oscilio, Constella Intelligence",0,1,1,0.0
Jarl Vetreiði,"Levia, Shadowborn Abomination",1,0,1,100.0
Jarl Vetreiði,"Kano, Dracai of Aether",1,0,1,100.0
"Vynnset, Iron Maiden","Verdance, Thorn of the Rose",2,3,5,40.0
"Vynnset, Iron Maiden","Florian, Rotwood Harbinger",5,3,8,62.5
"Vynnset, Iron Maiden","Rhinar, Reckless Rampage",1,0,1,100.0
"Vynnset, Iron Maiden","Cindra, Dracai of Retribution",8,3,11,72.73
"Vynnset, Iron Maiden","Prism, Awakener of Sol",5,1,6,83.33
"Vynnset, Iron Maiden","Azalea, Ace in the Hole",3,6,9,33.33
"Vynnset, Iron Maiden","Arakni, 5L!p3d 7hRu 7h3 cR4X",2,1,3,66.67
"Vynnset, Iron Maiden","Kano, Dracai of Aether",2,1,3,66.67
"Vynnset, Iron Maiden",Jarl Vetreiði,1,1,2,50.0
"Vynnset, Iron Maiden","Marlynn, Treasure Hunter",1,0,1,100.0
"Vynnset, Iron Maiden","Fang, Dracai of Blades",1,1,2,50.0
"Vynnset, Iron Maiden","Arakni, Marionette",1,2,3,33.33
"Vynnset, Iron Maiden","Nuu, Alluring Desire",1,4,5,20.0
"Vynnset, Iron Maiden","Puffin, Hightail",2,0,2,100.0
"Vynnset, Iron Maiden","Victor Goldmane, High and Mighty",0,2,2,0.0
"Vynnset, Iron Maiden","Vynnset, Iron Maiden",2,2,4,50.0
"Vynnset, Iron Maiden","Gravy Bones, Shipwrecked Looter",4,6,10,40.0
"Vynnset, Iron Maiden",Dash I/O,1,1,2,50.0
"Vynnset, Iron Maiden",Kassai of the Golden Sand,2,0,2,100.0
"Vynnset, Iron Maiden","Oscilio, Constella Intelligence",1,0,1,100.0
"Vynnset, Iron Maiden",Dorinthea Ironsong,1,0,1,100.0
Dorinthea Ironsong,"Florian, Rotwood Harbinger",2,0,2,100.0
Dorinthea Ironsong,"Cindra, Dracai of Retribution",0,2,2,0.0
Dorinthea Ironsong,"Oscilio, Constella Intelligence",1,1,2,50.0
Dorinthea Ironsong,"Azalea, Ace in the Hole",1,5,6,16.67
Dorinthea Ironsong,"Gravy Bones, Shipwrecked Looter",1,1,2,50.0
Dorinthea Ironsong,"Nuu, Alluring Desire",0,1,1,0.0
Dorinthea Ironsong,"Arakni, Marionette",0,1,1,0.0
Dorinthea Ironsong,"Prism, Awakener of Sol",4,1,5,80.0
Dorinthea Ironsong,"Marlynn, Treasure Hunter",0,1,1,0.0
Dorinthea Ironsong,"Riptide, Lurker of the Deep",1,1,2,50.0
Dorinthea Ironsong,"Fang, Dracai of Blades",0,1,1,0.0
Dorinthea Ironsong,"Puffin, Hightail",0,1,1,0.0
Dorinthea Ironsong,"Rhinar, Reckless Rampage",0,1,1,0.0
Dorinthea Ironsong,"Vynnset, Iron Maiden",0,1,1,0.0
Dorinthea Ironsong,"Kano, Dracai of Aether",0,1,1,0.0
Dorinthea Ironsong,Dash I/O,0,1,1,0.0
Dorinthea Ironsong,"Ira, Scarlet Revenger",1,0,1,100.0
"Fang, Dracai of Blades","Prism, Awakener of Sol",1,5,6,16.67
"Fang, Dracai of Blades","Azalea, Ace in the Hole",1,5,6,16.67
"Fang, Dracai of Blades","Gravy Bones, Shipwrecked Looter",4,1,5,80.0
"Fang, Dracai of Blades","Verdance, Thorn of the Rose",0,3,3,0.0
"Fang, Dracai of Blades","Arakni, Marionette",2,3,5,40.0
"Fang, Dracai of Blades","Oscilio, Constella Intelligence",0,2,2,0.0
"Fang, Dracai of Blades","Nuu, Alluring Desire",3,1,4,75.0
"Fang, Dracai of Blades","Vynnset, Iron Maiden",1,1,2,50.0
"Fang, Dracai of Blades","Victor Goldmane, High and Mighty",2,1,3,66.67
"Fang, Dracai of Blades","Florian, Rotwood Harbinger",2,1,3,66.67
"Fang, Dracai of Blades",Dash I/O,0,1,1,0.0
"Fang, Dracai of Blades","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,1,1,0.0
"Fang, Dracai of Blades",Kassai of the Golden Sand,3,0,3,100.0
"Fang, Dracai of Blades",Dorinthea Ironsong,1,0,1,100.0
"Fang, Dracai of Blades","Fang, Dracai of Blades",2,2,4,50.0
"Fang, Dracai of Blades",,1,0,1,100.0
"Fang, Dracai of Blades","Puffin, Hightail",1,0,1,100.0
"Fang, Dracai of Blades","Cindra, Dracai of Retribution",1,0,1,100.0
"Katsu, the Wanderer","Azalea, Ace in the Hole",1,0,1,100.0
"Katsu, the Wanderer","Gravy Bones, Shipwrecked Looter",0,1,1,0.0
"Katsu, the Wanderer","Verdance, Thorn of the Rose",1,1,2,50.0
"Katsu, the Wanderer","Nuu, Alluring Desire",1,0,1,100.0
"Katsu, the Wanderer","Levia, Shadowborn Abomination",0,1,1,0.0
"Katsu, the Wanderer","Cindra, Dracai of Retribution",0,1,1,0.0
"Fai, Rising Rebellion","Cindra, Dracai of Retribution",1,1,2,50.0
"Fai, Rising Rebellion",Kassai of the Golden Sand,1,0,1,100.0
"Fai, Rising Rebellion","Florian, Rotwood Harbinger",1,0,1,100.0
"Fai, Rising Rebellion","Azalea, Ace in the Hole",1,0,1,100.0
"Fai, Rising Rebellion","Prism, Awakener of Sol",1,0,1,100.0
"Fai, Rising Rebellion","Gravy Bones, Shipwrecked Looter",0,2,2,0.0
"Fai, Rising Rebellion","Verdance, Thorn of the Rose",2,0,2,100.0
"Fai, Rising Rebellion","Kano, Dracai of Aether",1,0,1,100.0
"Fai, Rising Rebellion","Nuu, Alluring Desire",1,0,1,100.0
"Levia, Shadowborn Abomination","Verdance, Thorn of the Rose",1,3,4,25.0
"Levia, Shadowborn Abomination","Kano, Dracai of Aether",2,0,2,100.0
"Levia, Shadowborn Abomination","Prism, Awakener of Sol",2,2,4,50.0
"Levia, Shadowborn Abomination","Cindra, Dracai of Retribution",0,3,3,0.0
"Levia, Shadowborn Abomination","Riptide, Lurker of the Deep",0,1,1,0.0
"Levia, Shadowborn Abomination","Florian, Rotwood Harbinger",2,3,5,40.0
"Levia, Shadowborn Abomination","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,0,1,100.0
"Levia, Shadowborn Abomination","Gravy Bones, Shipwrecked Looter",2,0,2,100.0
"Levia, Shadowborn Abomination","Kayo, Armed and Dangerous",0,1,1,0.0
"Levia, Shadowborn Abomination","Victor Goldmane, High and Mighty",1,2,3,33.33
"Levia, Shadowborn Abomination","Puffin, Hightail",1,0,1,100.0
"Levia, Shadowborn Abomination","Katsu, the Wanderer",1,0,1,100.0
"Levia, Shadowborn Abomination","Nuu, Alluring Desire",0,1,1,0.0
"Levia, Shadowborn Abomination",Jarl Vetreiði,0,1,1,0.0
"Levia, Shadowborn Abomination",Dash I/O,0,1,1,0.0
,"Ira, Scarlet Revenger",0,1,1,0.0
,"Oscilio, Constella Intelligence",0,1,1,0.0
,"Cindra, Dracai of Retribution",0,2,2,0.0
,"Fang, Dracai of Blades",0,1,1,0.0
,"Puffin, Hightail",0,1,1,0.0
,"Prism, Awakener of Sol",0,1,1,0.0
