Hero,Opponent Hero,Wins,Losses,Total Matches,Win Rate (%)
"Nuu, Alluring Desire",Kassai of the Golden Sand,2,5,7,28.57
"Nuu, Alluring Desire","Oscilio, Constella Intelligence",9,1,10,90.0
"Nuu, Alluring Desire","Fang, Dracai of Blades",1,3,4,25.0
"Nuu, Alluring Desire","Gravy Bones, Shipwrecked Looter",8,12,20,40.0
"Nuu, Alluring Desire",Dorinthea Ironsong,1,0,1,100.0
"Nuu, Alluring Desire","Cindra, Dracai of Retribution",11,6,17,64.71
"Nuu, Alluring Desire","Riptide, Lurker of the Deep",1,2,3,33.33
"Nuu, Alluring Desire","Ira, Scarlet Revenger",5,0,5,100.0
"Nuu, Alluring Desire","Nuu, Alluring Desire",13,13,26,50.0
"Nuu, Alluring Desire",Dash I/O,5,0,5,100.0
"Nuu, Alluring Desire","Verdance, Thorn of the Rose",8,1,9,88.89
"Nuu, Alluring Desire","Vynnset, Iron Maiden",4,1,5,80.0
"Nuu, Alluring Desire",Jarl Vetreiði,2,0,2,100.0
"Nuu, Alluring Desire","Arakni, 5L!p3d 7hRu 7h3 cR4X",3,1,4,75.0
"Nuu, Alluring Desire","Katsu, the Wanderer",0,1,1,0.0
"Nuu, Alluring Desire","Levia, Shadowborn Abomination",1,0,1,100.0
"Nuu, Alluring Desire","Puffin, Hightail",2,0,2,100.0
"Nuu, Alluring Desire","Fai, Rising Rebellion",0,1,1,0.0
"Riptide, Lurker of the Deep","Prism, Awakener of Sol",1,3,4,25.0
"Riptide, Lurker of the Deep","Arakni, 5L!p3d 7hRu 7h3 cR4X",2,0,2,100.0
"Riptide, Lurker of the Deep","Kayo, Armed and Dangerous",1,0,1,100.0
"Riptide, Lurker of the Deep","Arakni, Marionette",1,2,3,33.33
"Riptide, Lurker of the Deep","Levia, Shadowborn Abomination",1,0,1,100.0
"Riptide, Lurker of the Deep","Nuu, Alluring Desire",2,1,3,66.67
"Riptide, Lurker of the Deep","Florian, Rotwood Harbinger",1,1,2,50.0
"Riptide, Lurker of the Deep","Gravy Bones, Shipwrecked Looter",1,2,3,33.33
"Riptide, Lurker of the Deep","Ira, Scarlet Revenger",0,1,1,0.0
